	Data	Id	Label	Median	Signif	Substr	pVal
344	122.86	Median_IFI	1593	0.27	no	yeast	0.7564287268678761
345	8.99	Median_IFI	1597	8.99	no	yeast	0.015334555028483991
346	122.18	Median_IFI	1602	9.1725	yes	yeast	0.007443077254656994
347	7.845	Median_IFI	2111	5.8475	no	yeast	0.32169944283953383
348	3.05	Median_IFI	2257	29.375	yes	yeast	0.003045269625423507
349	32.19	Median_IFI	2259	32.19	yes	yeast	3.2861390837542854e-05
350	0.07	Median_IFI	2275	2.345	no	yeast	0.22406548377975158
351	0.305	Median_IFI	2278	48.3425	yes	yeast	0.006853944332183471
352	75.61	Median_IFI	2279	51.4	yes	yeast	0.008701954881286887
353	0.06	Median_IFI	2285	9.415	no	yeast	0.17633108920765198
354	1.68	Median_IFI	2310	14.96	yes	yeast	0.008767833437350528
355	0.63	Median_IFI	2316	0.2175	no	yeast	0.679016353812677
356	0.32	Median_IFI	2324	2.55	no	yeast	0.1732873833602846
357	0.07	Median_IFI	2378	2.2675	no	yeast	0.87968308427176
358	92.27	Median_IFI	2384	80.11	yes	yeast	0.0002459035686972138
359	26.66	Median_IFI	2388	9.28	no	yeast	0.3153978084812571
360	0.19	Median_IFI	2391	18.01	yes	yeast	0.0005652765866469772
361	0.22	Median_IFI	2394	0.875	no	yeast	0.8086377565740883
362	0.06	Median_IFI	2538	0.345	no	yeast	0.5610200913327458
363	0.1	Median_IFI	2547	0.855	no	yeast	0.5248671992940548
364	0.1	Median_IFI	2554	8.645	no	yeast	0.17541358133502022
365	0.83	Median_IFI	2608	0.83	no	yeast	0.5259578466084788
366	5.88	Median_IFI	2609	0.1375	no	yeast	0.21012184636185915
367	0.225	Median_IFI	2617	23.03	no	yeast	0.01507432264840723
368	43.91	Median_IFI	2618	25.6675	yes	yeast	0.0010528124695498198
369	37.04	Median_IFI	2624	0.38	no	yeast	0.9662789817905177
370	9.63	Median_IFI	2625	21.4875	yes	yeast	0.0027146981449314065
371	31.24	Median_IFI	2634	0.16	no	yeast	0.25124061237500683
372	23.33	Median_IFI	2635	9.645	yes	yeast	0.007283240359214769
373	11.55	Median_IFI	4158	34.56	no	yeast	0.020087775371797546
374	0.11	Median_IFI	4159	16.822499999999998	no	yeast	0.1976673606859452
375	25.78	Median_IFI	emptySplitGal4	0.29	no	yeast	1.0
376	0.07	Median_IFI	0730	0.08	yes	yeast	2.6148780761295688e-05
377	0.38	Median_IFI	0731	0.3175	no	yeast	0.9919495025550509
378	0.08	Median_IFI	0732	0.09	yes	yeast	0.0025722336094205
379	0.27	Median_IFI	0923	0.24	no	yeast	0.30336711089679236
380	0.04	Median_IFI	1046	1.7650000000000001	no	yeast	1.0
381	0.245	Median_IFI	1052	0.245	no	yeast	0.8243330035614154
382	34.32	Median_IFI	1053	34.32	yes	yeast	2.3376174929361633e-05
383	57.56	Median_IFI	1054	2.78	no	yeast	0.16697769998509887
